Delegation,Code,Population,Poverty,Ecart Type
Le Kram,1170,74132,3,0.0045
Madina,1152,21400,6.6,0.0113
Mahdia,3351,79545,13.3,0.0112
Mahres,3465,34257,8.9,0.0119
Majel Belabbes,4263,23315,41.4,0.0299
Makthar,2457,29052,26.5,0.0179
Manouba,1451,58792,3.8,0.0046
Mareth,5160,63122,21.2,0.0111
Mateur,1756,46975,19.3,0.0134
Matmata,5158,4444,26.4,0.0461
Matmata Nouvelle,5159,14224,23.6,0.0231
Mazzouna,4360,24766,34.3,0.0261
Mdhila,6158,15306,18.7,0.0215
Mednine Nord,5251,54769,18.9,0.0112
Mednine Sud,5252,54640,20.7,0.0168
Megrine,1359,26720,3.6,0.0071
Mejez El Bab,2159,41749,17.1,0.0135
Meknassi,4358,23789,23.3,0.02
Melloulech,3359,22085,30.9,0.0251
Menzel Bourguiba,1758,61919,12.8,0.0113
Menzel Bouzaiene,4357,25321,39,0.0227
Menzel Bouzelfa,1562,37860,7.1,0.009
Menzel Chaker,3461,37368,12.2,0.0129
Menzel Habib,5156,10148,33.6,0.0322
Menzel Jemil,1762,47224,10.6,0.011
Menzel Temime,1555,65645,10.2,0.0084
Metlaoui,6157,38634,16.2,0.0131
Metouia,5155,27878,17.9,0.0163
M'Hamdia,1360,66439,7.1,0.0069
Mnihla,1257,89884,8.8,0.007
Moknine,3258,89277,12.1,0.0092
Monastir,3251,104535,4.6,0.0045
Mornag,1362,61518,11.2,0.0091
Mornaguia,1454,42687,7.8,0.0083
M'Saken,3164,97225,14.1,0.0098
Nabeul,1551,73128,4.7,0.0055
Nadhour,1655,30366,22.5,0.0194
Nasrallah,4159,33789,35.1,0.0196
Nebeur,2353,25897,45.4,0.0237
Nefta,6254,21731,17.3,0.0181
Nefza,2154,48101,37.5,0.0185
Nouvelle Madina,1352,57194,5.2,0.0061
Omrane,1155,42208,6.3,0.0065
Omrane Superieur,1156,55513,3.5,0.0052
Oued Ellil,1453,69317,8.2,0.0066
Oued Mliz,2258,17843,21,0.021
Ouerdanine,3252,21814,8.7,0.0134
Oueslatia,4155,34452,40.9,0.0202
Ouled Chamekh,3353,23020,35,0.024
Ouled Haffouz,4362,19579,21.3,0.0225
Oum Larais,6155,27012,20.5,0.0167
Rades,1358,59998,4.3,0.0049
Raoued,1253,106414,6.9,0.0063
Ras Jebel,1764,58241,12.2,0.012
Redeyef,6156,26976,21.1,0.0177
Regueb,4361,64998,23.7,0.0128
Remada,5357,10173,27.4,0.034
Rouhia,2458,25951,40.7,0.0218
Sabalat Ouled Asker,4354,20382,31.2,0.0206
Sahline,3253,27449,6.7,0.0098
Sakiet Eddaier,3454,113776,3.2,0.0043
Sakiet Ezzit,3453,87512,3.2,0.0048
Sakiet Sidi Youssef,2354,17500,39.7,0.0242
Saouaf,1656,12681,19.5,0.0256
Sayada-Lamta-Bou Hjar,3263,24889,4.7,0.0074
Sbeitla,4255,75245,33,0.0149
Sbiba,4256,41189,37.1,0.0201
Sbikha,4154,71922,35.1,0.0146
Sejnane,1754,40166,39.9,0.0205
Sened,6161,36746,27.2,0.0168
Sfax Madina,3451,101176,2.5,0.0036
Sfax Ouest,3452,110125,3,0.0037
Sfax Sud,3455,119139,3,0.0032
Sidi Aich,6152,10084,16.1,0.0239
Sidi Ali Ben Aoun,4356,28214,31,0.0204
Sidi Alouane,3360,37767,28.9,0.0197
Sidi Bou Ali,3158,19543,16.5,0.0195
Sidi Bourouis,2456,12618,21.8,0.0263
Sidi Bouzid Est,4352,49450,21.8,0.0138
Sidi Bouzid Ouest,4351,73226,17.7,0.0108
Sidi El Bachir,1167,27749,4.2,0.0079
Sidi El Heni,3163,13505,27.9,0.0309
Sidi Hassine,1164,109672,9.4,0.008
Sidi Makhlouf,5259,25206,33.4,0.0267
Sidi Thabet,1255,24503,9.1,0.0122
Sijoumi,1161,33870,11.5,0.0122
Siliana Nord,2451,28907,16.8,0.014
Siliana Sud,2452,30233,19.9,0.0148
Skhira,3464,34673,12.4,0.0146
Smar,5353,14793,14.4,0.0259
Soliman,1561,53491,7.8,0.0076
Souassi,3356,50424,29.2,0.02
Souk El Ahed,6353,27865,21.7,0.0181
Souk Jedid,4359,21660,20.8,0.0217
Soukra,1252,129693,4.8,0.0043
Sousse Jaouhara,3153,86517,7,0.0075
Sousse Madina,3151,35288,5.5,0.0098
Sousse Riadh,3152,64532,10.7,0.0114
Sousse Sidi Abdelhamid,3154,52787,17.7,0.015
Tabarka,2254,48993,16.7,0.0109
Taboursouk,2155,22115,27.3,0.0215
Tajerouine,2355,27592,37.7,0.0214
Takelsa,1560,22151,19.1,0.0203
Tamaghza,6253,6516,20.5,0.033
Tataouine Nord,5351,61431,18.4,0.0109
Tataouine Sud,5352,34344,17.1,0.0145
Teboulba,3260,37485,6.7,0.0106
Tebourba,1457,43499,15.2,0.0128
Testour,2157,33613,25.5,0.018
Thala,4259,37128,30.9,0.0169
Thibar,2156,11206,25.8,0.027
Thyna,3456,62997,6.2,0.0065
Tinja,1759,23455,11.3,0.0151
Tozeur,6251,46422,10.3,0.0102
Utique,1760,19922,19.1,0.0205
Zaghouan,1651,38445,7.2,0.0084
Zaouia Ksiba Thrayat,3166,32304,17.3,0.0179
Zarzis,5255,75382,15.8,0.0104
Zeramdine,3254,29733,13.1,0.0162
Zriba,1652,24617,13,0.0143
